"id1","id2","id3","id4","hhmid","s10avi_49","s10avi_50i","s10avi_50ii","s10avi_51","s10avi_52i","s10avi_52ii","s10avi_53","s10avi_54i","s10avi_54ii","s10avi_55","s10avi_56i","s10avi_56ii","s10avi_57","s10avi_58i","s10avi_58ii","s10avi_59","s10avi_60i","s10avi_60ii","s10avi_61","s10avi_62i","s10avi_62ii","s10avi_63","s10avi_64i","s10avi_64ii","s10avi_65","s10avi_66i","s10avi_66ii","s10avi_67","s10avi_68i","s10avi_68ii","s10avi_69","s10avi_70i","s10avi_70ii","s10avi_71","s10avi_72i","s10avi_72ii","s10avi_73","s10avi_74i","s10avi_74ii","s10avi_75","s10avi_76i","s10avi_76ii","s10avi_77","s10avi_78i","s10avi_78ii","s10avi_79","s10avi_80i","s10avi_80ii","s10avi_81","s10avi_82i","s10avi_82ii","s10avi_83","s10avi_84i","s10avi_84ii","s10avi_85","s10avi_86i","s10avi_86ii","s10avi_87","s10avi_88i","s10avi_88ii","s10avi_89","s10avi_90i","s10avi_90ii","s10avi_91","s10avi_92i","s10avi_92ii","s10avi_93","s10avi_94i","s10avi_94ii","s10avi_95","s10avi_96i","s10avi_96ii","s10avi_97","s10avi_98i","s10avi_98ii","s10avi_99","s10avi_100i","s10avi_100ii","s10avi_101","s10avi_102i","s10avi_102ii","s10avi_103i","s10avi_103ii","s10avi_104i","s10avi_104ii","s10avi_105","hhno"
1,6,1,23,1,1,3,,2,,,2,,,,,,1,,20,2,,,1,1,30,1,1,30,1,,30,2,,,1,,20,2,,,1,1,30,2,,,1,1,30,2,,,1,1,,,,,2,,,,,,1,,30,2,,,1,2,,2,,,2,,,,,,2,,,,,3,,4,101001023
1,6,1,23,2,1,3,,2,,,1,,2,2,,,2,,,,,,1,2,,2,,,1,,30,2,,,1,,10,2,,,1,1,,2,,,2,,,,,,2,,,,,,2,,,,,,1,1,,2,,,1,1,,2,,,1,2,,2,,,2,,,,,4,,3,101001023
1,6,1,23,3,1,3,,2,,,1,,2,2,,,2,,,,,,1,2,30,2,,,1,,30,2,,,1,,10,2,,,1,1,,2,,,2,,,,,,2,,,,,,2,,,,,,1,1,,2,,,1,1,,2,,,1,2,,2,,,2,,,,,3,,3,101001023
1,6,1,24,1,1,1,,2,,,1,,10,2,,,1,1,,2,,,1,2,30,2,,,1,1,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,1,1,,2,,,2,,,1,,,1,1,,2,,,2,,,2,,,1,,30,,45,2,,4,101001024
1,6,1,24,2,1,1,,2,,,1,,10,2,,,1,1,30,2,,,1,1,30,2,,,1,1,30,2,,,1,,30,2,,,1,2,,2,,,1,1,30,2,,,2,,,,,,1,1,30,2,,,2,,,1,,,1,1,,2,,,2,,,2,,,1,1,,,,3,,4,101001024
1,6,1,26,1,1,3,,1,3,,1,,5,1,,8,1,3,,2,,,1,2,30,2,,,1,,45,1,,45,2,,,,,,1,,30,2,,,2,,,,,,,,,,,,2,,,,,,2,,,,,,1,3,,1,3,,1,2,,1,2,,1,1,,1,,3,,4,101001026
1,6,1,26,2,1,3,,1,3,,1,,7,1,,10,1,3,30,2,,,1,1,30,2,,,1,1,,1,1,20,1,,30,1,,45,1,1,30,2,,,1,1,30,1,1,30,,,,,,,2,,,,,,2,,,,,,1,2,30,1,2,30,1,2,,1,2,,1,1,30,1,30,3,30,3,101001026
1,6,1,29,1,1,2,,2,,,1,,15,2,,,1,2,,2,,,1,2,,2,,,2,,,,,,2,,,,,,1,2,,2,,,1,1,,2,,,1,1,,2,,,1,1,,2,,,1,,30,2,,,1,2,,1,2,,2,,,,,,1,1,30,1,30,3,,4,101001029
1,6,1,29,2,1,1,,2,,,1,,15,2,,,1,2,,2,,,1,1,30,2,,,1,2,,2,,,1,,30,2,,,1,3,,2,,,1,2,,2,,,1,,30,2,,,2,,,,,,2,,,2,,,1,1,,1,1,,2,,,,,,1,1,,1,,4,,2,101001029
1,6,1,34,1,1,1,,2,,,2,,,,,,1,,15,2,,,1,2,30,2,,,2,,,,,,2,,,2,,,1,1,,2,,,2,,,,,,1,,30,,,,1,1,,,,,1,2,,2,,,1,3,,2,,,2,,,,,,1,1,30,1,,2,,4,101001034
1,6,1,34,2,1,1,,2,,,1,,10,2,,,1,,25,2,,,1,1,30,2,,,1,1,30,2,,,1,,30,2,,,1,1,30,2,,,1,2,,2,,,1,,45,,,,1,,30,2,,,2,,,,,,1,1,,2,,,2,,,,,,1,1,45,1,30,2,,4,101001034
1,6,1,34,4,1,1,,2,,,1,,8,2,,,2,,,2,,,1,3,,2,,,1,,30,2,,,1,,10,2,,,1,1,,2,,,2,,,,,,2,,,,,,1,,30,,,,1,1,30,2,,,1,1,30,2,,,2,,,,,,1,1,30,1,,2,,4,101001034
1,6,1,35,1,1,1,30,2,,,2,,,,,,,,,,,,1,3,,2,,,2,,,,,,2,,,,,,1,1,,2,,,2,,,,,,1,1,30,2,,,1,1,,2,,,2,,,,,,1,2,,1,2,30,2,,,,,,1,1,30,1,30,2,30,4,101001035
1,6,1,35,2,1,1,30,2,,,1,,30,2,,,1,2,,2,,,1,1,30,2,,,1,1,30,2,,,1,,30,2,,,1,1,30,2,,,1,1,30,2,,,1,1,30,2,,,1,1,30,2,,,2,,,,,,1,1,,1,1,,2,,,,,,1,1,,1,30,1,30,4,101001035
1,6,1,35,3,1,1,,2,,,1,,45,2,,,1,,45,2,,,1,2,30,2,,,1,1,30,2,,,1,,30,2,,,1,1,,2,,,1,1,,2,,,1,1,,,,,1,,30,2,,,1,,45,2,,,1,1,30,1,1,30,2,,,,,,1,1,,1,45,1,,2,101001035
1,6,2,2,1,2,,,,,,2,,,,,,2,,,,,,1,1,,2,,,1,,20,2,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,,30,2,,,2,,,,,,2,,,,,7,,4,101002002
1,6,2,4,1,2,,,,,,2,,,,,,1,,30,2,,,2,,,,,,1,,20,2,,,1,,10,2,,,2,,,,,,1,1,30,2,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,9,,7,101002004
1,6,2,16,1,2,,,,,,2,,,,,,2,,,,,,1,2,,2,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,1,,2,,,1,2,,2,,,1,,30,,30,8,,6,101002016
1,6,2,16,2,2,,,,,,1,,20,1,,20,1,,40,1,,40,2,,,,,,1,1,,1,1,,1,,10,1,,10,1,,20,1,,20,1,1,30,1,1,30,2,,,,,,2,,,,,,2,,,,,,1,1,,1,1,,1,3,,1,3,,1,2,,2,,8,,5,101002016
1,6,2,19,1,2,,,,,,1,,40,2,,,1,1,,2,,,1,5,,2,,,1,1,30,2,,,1,,10,2,,,1,,15,2,,,1,,45,2,,,1,2,,,,,2,,,,,,1,2,,2,,,2,,,,,,1,1,,2,,,2,,,,,8,,5,101002019
1,6,2,21,1,2,,,,,,1,,10,2,,,1,,30,2,,,1,4,,2,,,1,1,,2,,,1,,10,2,,,1,2,,2,,,1,2,,2,,,2,,,,,,2,,,,,,2,,,,,,1,2,,2,,,1,1,,,,,2,,,,,9,,6,101002021
1,6,2,23,1,2,,,,,,2,,,,,,2,,,,,,1,3,,2,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,1,,2,,,1,2,,2,,,1,1,,1,,8,,7,101002023
1,6,2,23,2,2,,,,,,1,,20,1,,20,1,,45,1,,45,2,,,,,,1,1,40,1,1,40,1,,15,1,,15,1,1,,1,1,,1,2,,1,2,,2,,,,,,2,,,,,,2,,,,,,1,,20,1,,20,1,2,,1,2,,1,1,,2,,7,,6,101002023
1,6,2,24,1,2,,,2,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,6,,2,,,2,,,,,9,,0,101002024
1,6,2,24,2,2,,,2,,,2,,,,,,1,,45,2,,,2,,,,,,1,,30,2,,,1,,15,2,,,1,1,,2,,,1,1,30,2,,,2,,,,,,1,8,,2,,,2,,,,,,2,,,,,,1,2,,2,,,2,,,,,7,,4,101002024
1,6,2,25,2,2,,,,,,2,,,,,,1,1,,2,,,2,,,,,,1,1,,1,1,,1,,20,1,,20,1,1,30,1,1,30,1,2,,1,2,,2,,,,,,1,6,,2,,,2,,,,,,2,,,,,,1,,20,1,,20,1,2,,1,30,8,,6,101002025
1,6,2,25,3,2,,,,,,1,,15,2,,,2,,,,,,1,2,,2,,,1,,30,2,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,2,,2,,,1,,30,2,,,1,,30,2,,,1,2,,2,,,1,,30,,10,9,,5,101002025
1,6,2,25,4,2,,,,,,1,,15,2,,,2,,,,,,1,2,,2,,,1,,45,2,,,1,,10,2,,,2,,,,,,2,,,,,,2,,,,,,1,2,,2,,,1,1,30,2,,,1,,30,2,,,1,3,,2,,,1,,30,,30,9,,5,101002025
1,6,2,28,1,2,,,,,,2,,,,,,2,,,,,,1,2,,2,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,,30,2,,,2,,,,,,1,1,,,10,8,,5,101002028
1,6,2,28,2,2,,,,,,1,,5,2,,,1,1,,2,,,1,1,,2,,,1,1,30,2,,,1,,10,2,,,1,1,30,2,,,1,2,,1,1,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,,30,1,,7,,5,101002028
1,6,2,28,3,2,,,,,,1,,5,2,,,1,,45,2,,,2,,,,,,1,2,,2,,,1,,20,2,,,2,,,,,,1,2,,2,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,1,,2,,,1,,45,,20,9,,7,101002028
1,6,2,29,1,2,,,,,,2,,,,,,1,1,,2,,,1,1,30,2,,,1,1,,2,,,2,,,,,,1,,30,2,,,1,2,,2,,,2,,,,,,2,,,,,,2,,,,,,1,,30,2,,,1,3,,2,,,2,,,,,8,,5,101002029
1,6,2,29,2,2,,,,,,1,,10,2,,,1,1,,2,,,2,,,,,,1,,45,2,,,1,,20,2,,,1,,30,2,,,1,1,30,2,,,2,,,,,,2,,,,,,2,,,,,,1,,20,2,,,1,2,,2,,,2,,,,,8,,7,101002029
1,6,2,37,1,1,7,,2,,,1,,20,2,,,1,1,,2,,,2,,,,,,1,3,,1,3,,1,,30,1,,30,1,1,,1,1,,1,3,,1,3,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,,30,,5,8,,6,101002037
1,6,2,41,1,2,,,,,,2,,,,,,2,,,,,,1,2,,2,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,,30,2,,,1,1,,2,,,1,2,,2,,,1,1,,,30,8,,5,101002041
1,6,2,41,2,2,,,,,,1,,10,1,,,1,,,2,,,2,,,,,,1,1,30,1,1,30,1,,10,1,,,1,,30,1,,30,1,2,,1,2,,2,,,,,,2,,,,,,2,,,,,,1,,40,1,,40,1,3,,1,3,,1,2,,2,,8,,6,101002041
1,6,2,43,1,2,,,,,,1,,10,2,,,1,,40,2,,,2,,,,,,1,,30,2,,,1,,10,2,,,2,,,,,,1,2,,2,,,2,,,,,,2,,,,,,2,,,,,,1,,30,2,,,1,1,,2,,,2,,,,,8,,4,101002043
1,6,2,50,1,2,,,,,,1,,20,2,,,1,,40,2,,,2,,,,,,1,,35,2,,,1,,10,2,,,1,,20,2,,,1,1,30,2,,,2,,,,,,2,,,,,,2,,,,,,1,,30,2,,,1,,40,2,,,2,,,,,8,,6,101002050
1,6,2,52,1,2,,,,,,2,,,,,,2,,,,,,1,1,30,2,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,,30,2,,,1,2,,2,,,2,,,,,8,,6,101002052
1,6,2,52,2,2,,,,,,1,,15,2,,,1,1,,2,,,1,,30,2,,,1,1,,2,,,1,,15,2,,,1,,30,2,,,1,2,,2,,,2,,,,,,2,,,,,,2,,,,,,1,,30,2,,,1,4,,2,,,2,,,,,8,,5,101002052
1,1,3,4,1,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,,15,2,,,1,,5,2,,,1,,5,2,,,2,,,,,,,,,2,,,2,,,,,,2,,,,,,,,,,,,2,,,,,,2,,,,,,,,101003004
1,1,3,5,1,1,,30,2,,,1,,15,2,,,1,1,30,2,,,2,,,,,,1,1,30,2,,,1,,10,,,,1,,10,2,,,1,2,,2,,,1,2,,2,,,1,2,,2,,,2,,,,,,2,,,,,,2,,,,,,1,,10,,10,8,,6,101003005
1,1,3,5,2,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,,,,,,,2,,,,,,2,,,,,,2,,,,,,,,101003005
1,1,3,9,1,2,,,,,,1,,10,2,,,2,,,,,,1,,20,2,,,1,,30,2,,,2,,,,,,1,,5,2,,,1,,20,2,,,2,,,,,,2,,,,,,2,,,,,,1,4,,2,,,2,,,,,,1,,15,,10,8,,6,101003009
1,1,3,9,2,1,,35,1,,35,1,,20,2,,,1,,45,2,,,2,,,,,,1,1,15,2,,,1,,15,2,,,1,,15,2,,,1,2,,1,2,,2,,,,,,2,,,,,,2,,,,,,1,3,,2,,,2,,,,,,1,,10,,20,8,,6,101003009
1,1,3,11,1,1,,20,2,,,2,,,,,,2,,,,,,1,,25,2,,,1,,10,2,,,2,,,,,,1,,10,2,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,4,,,,,2,,,,,,1,,30,,10,7,,6,101003011
1,1,3,11,2,1,,30,1,,30,1,,15,2,,,1,,45,,,,2,,,,,,1,2,,1,2,,1,,15,1,,15,1,,10,1,,10,1,1,30,1,1,30,2,,,,,,2,,,,,,2,,,,,,1,1,,1,1,,2,,,,,,1,,15,,15,8,,6,101003011
1,1,3,12,1,1,,30,2,,,2,,,,,,2,,,,,,1,,20,2,,,1,,20,2,,,2,,,,,,1,,15,2,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,1,,2,,,1,,20,,10,8,,6,101003012
1,1,3,12,2,1,,30,1,,30,1,,20,2,,,1,,35,1,,35,2,,,,,,1,1,30,1,1,30,1,,10,1,,10,1,,15,2,,,1,1,30,1,1,30,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,2,,1,1,,1,,10,,20,8,,6,101003012
1,1,3,13,1,2,,,,,,1,,15,2,,,1,,30,2,,,2,,,,,,1,1,45,2,,,1,,10,2,,,1,,10,2,,,1,2,,2,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,,,101003013
1,1,3,13,2,1,,30,2,,,1,,30,2,,,1,,25,2,,,1,,15,2,,,1,1,,2,,,1,,15,2,,,1,,15,2,,,1,1,30,2,,,2,,,,,,2,,,,,,1,,20,2,,,1,2,,2,,,2,,,,,,2,,,,,,,,101003013
1,1,3,15,1,1,,20,2,,,1,,15,2,,,1,,30,2,,,2,,,2,,,1,1,30,2,,,1,,10,2,,,1,,15,2,,,1,1,45,2,,,2,,,,,,2,,,2,,,2,,,2,,,1,3,,2,,,2,,,2,,,2,,,,,1,30,5,101003015
1,1,3,20,1,1,,30,2,,,1,,20,2,,,1,,15,2,,,2,,,,,,1,,45,2,,,1,,10,2,,,1,,10,2,,,1,1,,2,,,2,,,,,,2,,,,,,2,,,,,,,,,,,,2,,,,,,2,,,,,,,,101003020
1,1,3,26,1,1,,30,2,,,1,,20,2,,,2,,,,,,1,,20,2,,,1,1,,2,,,1,,10,2,,,1,,5,2,,,1,,30,2,,,2,,,,,,2,,,,,,2,,,,,,1,1,30,2,,,2,,,,,,2,,,,,,,,101003026
1,1,3,26,2,1,,25,2,,,1,,15,2,,,1,1,,2,,,2,,,,,,1,1,,2,,,1,,15,2,,,1,,15,2,,,1,1,30,2,,,2,,,,,,2,,,,,,2,,,,,,1,1,,2,,,2,,,,,,2,,,,,,,,101003026
1,1,3,32,1,1,,30,2,,,1,,15,2,,,1,,45,2,,,2,,,,,,1,1,15,2,,,1,,10,2,,,1,,15,2,,,1,1,30,2,,,2,,,,,,2,,,,,,2,,,,,,1,,30,2,,,2,,,,,,2,,,,,,,,101003032
1,1,3,37,1,1,,35,2,,,1,,15,2,,,1,,30,2,,,2,,,,,,1,1,,2,,,1,,10,2,,,1,,10,2,,,1,1,,2,,,2,,,,,,2,,,,,,2,,,,,,1,2,,2,,,2,,,,,,2,,,,,,,,101003037
1,1,3,40,1,1,,20,2,,,1,,10,2,,,2,,,,,,2,,,,,,2,,,,,,,,,,,,1,,5,2,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,3,,2,,,2,,,,,,2,,,,,,,,101003040
1,1,3,40,2,1,,30,2,,,1,,15,2,,,1,,45,,,,2,,,,,,1,1,30,2,,,1,,15,2,,,1,,15,2,,,1,2,,2,,,2,,,,,,2,,,,,,2,,,,,,1,3,,2,,,2,,,,,,2,,,,,,,,101003040
1,1,3,43,1,1,,20,2,,,1,,15,2,,,2,,,,,,1,,20,2,,,2,,,,,,2,,,,,,1,,10,2,,,1,,30,2,,,2,,,,,,2,,,,,,1,,30,2,,,1,2,,1,2,,2,,,,,,1,1,,,15,8,,6,101003043
1,1,3,43,2,1,,20,2,,,1,,20,2,,,1,,45,1,,45,2,,,,,,1,1,45,1,1,45,1,,15,2,,,1,,15,2,,,1,1,30,1,1,30,2,,,,,,2,,,,,,2,,,,,,1,2,,1,2,,2,,,,,,1,,20,,20,8,,6,101003043
1,1,3,46,1,2,,,,,,2,,,,,,2,,,,,,1,,20,,,,1,,15,2,,,2,,,,,,1,,10,2,,,2,,,,,,2,,,,,,2,,,,,,1,,15,2,,,1,2,,2,,,1,1,,2,,,1,,30,,,8,,6,101003046
1,1,3,46,2,1,,40,1,,40,1,,15,2,,,1,,30,1,,30,2,,,,,,1,1,30,1,1,30,1,,10,1,,10,1,,15,2,,,1,2,,1,,,2,,,,,,2,,,,,,2,,,,,,1,2,,2,,,1,2,,1,2,,1,,15,,10,8,,6,101003046
1,1,3,46,3,1,,40,2,,,1,,20,2,,,1,,20,2,,,2,,,,,,1,1,,2,,,1,,15,2,,,1,,15,2,,,1,1,30,2,,,2,,,,,,2,,,,,,1,,30,2,,,1,1,,2,,,1,1,,2,,,1,,30,,10,8,,6,101003046
1,1,3,50,1,1,,30,2,,,1,,15,2,,,1,,30,2,,,2,,,,,,1,1,30,2,,,1,,10,2,,,1,,10,2,,,1,2,,2,,,2,,,,,,2,,,,,,2,,,,,,,,,,,,1,3,,2,,,2,,,,,,,,101003050
1,5,4,1,1,2,,,,,,2,,,,,,2,,,,,,1,1,30,2,,,1,2,,2,,,2,,,,,,1,2,,1,2,,1,1,,2,,,2,,,,,,2,,,,,,1,1,,1,1,,1,1,,1,1,,1,5,,1,1,30,1,1,,1,,6,,5,101004001
1,5,4,1,2,1,1,,2,,,1,1,,1,,30,2,,,,,,1,1,,2,,,1,1,,1,,45,1,,30,1,,30,1,2,,1,2,,1,2,,1,1,,2,,,,,,2,,,,,,1,1,,1,1,,1,,30,1,,30,1,1,,1,1,,1,,30,2,,8,,5,101004001
1,5,4,1,3,2,,,,,,1,,20,2,,,1,1,,2,,,1,5,,2,,,1,4,,2,,,1,1,,2,,,1,2,,2,,,1,4,,2,,,1,2,,2,,,2,,,,,,1,5,,2,,,1,,30,2,,,1,2,,2,,,2,,,,,9,,0,101004001
1,5,4,2,1,1,2,,2,,,1,,30,2,,,1,1,30,2,,,1,2,,2,,,1,1,,2,,,1,,30,2,,,1,1,,2,,,1,1,30,2,,,1,2,,2,,,1,2,,2,,,1,1,,2,,,1,,30,2,,,1,3,,2,,,1,3,,1,,8,,5,101004002
1,5,4,5,1,2,,,,,,1,,30,2,,,1,2,,2,,,1,,30,2,,,1,1,,2,,,1,,10,2,,,1,,30,2,,,1,1,,2,,,1,1,,2,,,2,,,,,,2,,,,,,1,1,,2,,,1,6,,2,,,2,,,,,7,,7,101004005
1,5,4,6,1,2,,,,,,2,,,,,,2,,,,,,1,2,,2,,,2,,,,,,2,,,,,,1,,30,,,,2,,,,,,2,,,,,,2,,,,,,1,,20,2,,,1,2,,2,,,1,2,,1,1,,1,1,,1,30,7,30,5,101004006
1,5,4,6,2,1,1,,2,,,1,,45,1,,30,1,1,,2,,,1,1,,2,,,1,1,30,1,1,,2,,,,,,1,,45,1,,30,1,1,30,1,,30,2,,,,,,2,,,,,,1,,15,2,,,1,2,,1,1,,1,,30,1,,30,1,1,30,1,30,7,,5,101004006
1,5,4,6,3,1,1,,2,,,1,,30,1,,30,1,1,30,2,,,1,1,30,2,,,1,1,,2,,,1,,30,1,,30,1,,45,1,,30,1,1,,1,,30,2,,,,,,2,,,,,,1,,30,2,,,1,1,,1,,30,1,2,,1,1,,1,1,,1,,7,,0,101004006
1,5,4,10,1,1,1,,2,,,1,,25,2,,,1,4,,2,,,1,1,,1,,45,1,1,,1,,45,1,,30,1,,10,1,1,,1,,45,1,1,30,1,,30,1,1,,1,,30,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,0,,2,,8,,5,101004010
